"chillR_code","Name","CTRY","Latitude","Longitude","Elevation","BEGIN","END","distance","elevation_diff","Perc_Tmin","Perc_Tmax","Cod_Station","Institution","Source","Distance","N_Obs","Perc_days_complete"
NA,"El Tepual Puerto Montt Ap.",NA,-41.435,-73.0978,85,NA,NA,NA,NA,NA,NA,"Cod_410005","DMC","dmc_merge",962.36,27747,99.95
NA,"Cerro Moreno Antofagasta Ap.",NA,-23.4503,-70.4411,113,NA,NA,NA,NA,NA,NA,"Cod_230001","DMC","dmc_merge",1049.49,27757,99.99
NA,"Futaleufu Ad.",NA,-43.1889,-71.8525,347,NA,NA,NA,NA,NA,NA,"Cod_430002","DMC","dmc_web",1143.91,25720,92.65
NA,"El Loa Calama Ad.",NA,-22.4989,-68.9072,2293,NA,NA,NA,NA,NA,NA,"Cod_220002","DMC","dmc_web",1174.2,27703,99.79
NA,"Chiu-Chiu",NA,-22.3378,-68.6367,2524,NA,NA,NA,NA,NA,NA,"Cod_2104010","DGA","dga_web",1197.09,25961,93.52
NA,"Diego Aracena Iquique Ap.",NA,-20.5397,-70.1786,52,NA,NA,NA,NA,NA,NA,"Cod_200006","DMC","dmc_merge",1372.89,27754,99.98
NA,"Teniente Vidal Coyhaique Ad.",NA,-45.5939,-72.1086,310,NA,NA,NA,NA,NA,NA,"Cod_450004","DMC","dmc_merge",1411.88,27747,99.95
NA,"Balmaceda Ad.",NA,-45.9128,-71.6942,517,NA,NA,NA,NA,NA,NA,"Cod_450005","DMC","dmc_merge",1445.81,27743,99.94
NA,"Chile Chico Ad.",NA,-46.5808,-71.6928,306,NA,NA,NA,NA,NA,NA,"Cod_460001","DMC","dmc_merge",1520.02,25973,93.56
NA,"Azapa",NA,-18.5156,-70.1806,365,NA,NA,NA,NA,NA,NA,"Cod_1310019","DGA","dga_web",1596.46,26637,95.95
NA,"Lord Cochrane Ad.",NA,-47.2439,-72.5864,204,NA,NA,NA,NA,NA,NA,"Cod_470001","DMC","dmc_merge",1597.44,26518,95.53
NA,"Chacalluta Arica Ap.",NA,-18.3514,-70.3358,63,NA,NA,NA,NA,NA,NA,"Cod_180005","DMC","dmc_merge",1613.68,27758,99.99
NA,"Torres Del Paine",NA,-51.1842,-72.9669,25,NA,NA,NA,NA,NA,NA,"Cod_12286001","DGA","dga_web",2036.46,25431,91.61
NA,"Punta Arenas",NA,-53.0033,-70.845,38,NA,NA,NA,NA,NA,NA,"Cod_520006","DMC","dmc_merge",2234.01,27754,99.98
NA,"Punta Arenas 2",NA,-53.1233,-70.8772,5,NA,NA,NA,NA,NA,NA,"Cod_12586004","DGA","dga_web",2247.33,27750,99.96
NA,"Ascasubi",NA,-39.38,-62.62,22,NA,NA,NA,NA,96.4193083573487,95.5763688760807,NA,NA,NA,NA,NA,NA
NA,"Maquinchao",NA,-41.25,-68.73,887,NA,NA,NA,NA,95.9582132564841,96.64265129683,NA,NA,NA,NA,NA,NA
NA,"Neuquen",NA,-38.95,-67.97,271,NA,NA,NA,NA,99.4380403458213,99.5677233429395,NA,NA,NA,NA,NA,NA
NA,"Trelew",NA,-43.23,-65.32,10,NA,NA,NA,NA,99.7550432276657,98.2853025936599,NA,NA,NA,NA,NA,NA
NA,"Viedma",NA,-40.85,-63.02,7,NA,NA,NA,NA,97.2046109510086,96.8876080691643,NA,NA,NA,NA,NA,NA
